id,airline_name_ko,airline_name_en,iata_code
438,에어 세르비아,Air Serbia,JU
439,에어 센츄리 ,Air Century,Y2
440,에어 시알,Air Sial,PF
441,에어 아라비아,Air Arabia,G9
442,에어 아라비아 모로코,Air Arabia Maroc,3O
443,에어 아라비아 아부다비,Air Arabia Abu Dhabi,3L
444,에어 아라비아 이집트,Air Arabia Egypt,E5
445,에어 아스타나,Air Astana,KC
446,에어 아스트라,Air Astra,2A
447,에어 알바니아,Air Albania,ZB
448,에어 알시,Air Alsie,6I
449,에어 알제리,Air Algerie,AH
450,에어 앙카,Air Anka,TZ
451,에어 오스트랄,Air Austral,UU
452,에어 우르가,Air Urga,3N
453,에어 위스콘신,Air Wisconsin,ZW
454,에어 유로파 익스프레스,Air Europa Express,X5
455,에어 유로파 항공,Air Europa Lineas Aereas,UX
456,에어 인뉴이트,Air Inuit,3H
457,에어 인도,Air India,AI
458,에어 인디아 익스프레스,Air India Express,IX
459,에어 지부티,Air Djibouti,DJ
460,에어 짐바브웨,Air Zimbabwe,UM
461,에어 차트마스,Air Chathams,3C
462,에어 초이스원,Air Choice One,3E
463,에어 카고캐리어,Air Cargo Carriers,2Q
464,에어 카라이브,Air Caraibes,TX
465,에어 칼레도니,Air Caledonie,TY
466,에어 캐나다,Air Canada,AC
467,에어 캐나다 루즈,Air Canada Rouge,RV
468,에어 커넥트 항공,Air Connect,KS
469,에어 코트디부아르,Air Cote dlvoire,HF
470,에어 크리벡,Air Creebec,YN
471,에어 타히티 누이,Air Tahiti Nui,TN
472,에어 탄루윈,Air Thanlwin,ST
473,에어 트란삿,Air Transat,TS
474,에어 트랜스포트 인터내셔널,Air Transport International,8C
475,에어 틴디,Air Tindi,8T
476,에어 파나마,Air Panama,7P
477,에어 프랑스,Air France,AF
478,에어 플라맹고,Air Flamenco,F4
479,에어 피스,Air Peace,P4
480,에어 호라이즌,Air Horizont,HT
481,에어 홍콩,Air Hong Kong,LD
482,에어 후한,Air Juan,AO
483,에어노스,Airnorth,TL
484,에어로 노마드,Aero Nomad,KA
485,에어로 딜리,Aero Dili,8G
486,에어로 콘트렉트 항공,Aero Contractors,N2
487,에어로로직,AeroLogic,3S
488,에어로스탄,Aerostan,KW
489,에어로트렌스카고,Aerotranscargo,F5
490,에어루스,Aerus,ZV
491,에어리탈리아,Aeroitalia,XZ
492,에어리프트 알래스카,Airlift Alaska,K2
